STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),iscedf13,ISCED Fields of education and training (ISCED-F 2013),sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EDUC_UOE_GRAD02(1.0),"Graduates by education level, programme orientation, sex and field of education",A,Annual,NR,Number,ED5-8,Tertiary education (levels 5-8),F06,Information and communication technologies,F,Females,CZ,Czechia,2013,,675,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD02(1.0),"Graduates by education level, programme orientation, sex and field of education",A,Annual,NR,Number,ED5-8,Tertiary education (levels 5-8),F06,Information and communication technologies,F,Females,CZ,Czechia,2014,,721,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD02(1.0),"Graduates by education level, programme orientation, sex and field of education",A,Annual,NR,Number,ED5-8,Tertiary education (levels 5-8),F06,Information and communication technologies,F,Females,CZ,Czechia,2015,,519,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD02(1.0),"Graduates by education level, programme orientation, sex and field of education",A,Annual,NR,Number,ED5-8,Tertiary education (levels 5-8),F06,Information and communication technologies,F,Females,CZ,Czechia,2016,,557,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD02(1.0),"Graduates by education level, programme orientation, sex and field of education",A,Annual,NR,Number,ED5-8,Tertiary education (levels 5-8),F06,Information and communication technologies,F,Females,CZ,Czechia,2017,,617,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD02(1.0),"Graduates by education level, programme orientation, sex and field of education",A,Annual,NR,Number,ED5-8,Tertiary education (levels 5-8),F06,Information and communication technologies,F,Females,CZ,Czechia,2018,,599,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD02(1.0),"Graduates by education level, programme orientation, sex and field of education",A,Annual,NR,Number,ED5-8,Tertiary education (levels 5-8),F06,Information and communication technologies,F,Females,CZ,Czechia,2019,,647,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD02(1.0),"Graduates by education level, programme orientation, sex and field of education",A,Annual,NR,Number,ED5-8,Tertiary education (levels 5-8),F06,Information and communication technologies,F,Females,CZ,Czechia,2020,,646,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD02(1.0),"Graduates by education level, programme orientation, sex and field of education",A,Annual,NR,Number,ED5-8,Tertiary education (levels 5-8),F06,Information and communication technologies,F,Females,CZ,Czechia,2021,,693,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD02(1.0),"Graduates by education level, programme orientation, sex and field of education",A,Annual,NR,Number,ED5-8,Tertiary education (levels 5-8),F06,Information and communication technologies,F,Females,DE,Germany,2013,,3389,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD02(1.0),"Graduates by education level, programme orientation, sex and field of education",A,Annual,NR,Number,ED5-8,Tertiary education (levels 5-8),F06,Information and communication technologies,F,Females,DE,Germany,2014,,3825,,,,,
dataflow,ESTAT:EDUC_UOE_GRAD02(1.0),"Graduates by education level, programme orientation, sex and field of education",A,Annual,NR,Number,ED5-8,Tertiary education (levels 5-8),F06,Information and communication technologies,F,Females,DE,Germany,2015,,4366,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_GRAD02(1.0),"Graduates by education level, programme orientation, sex and field of education",A,Annual,NR,Number,ED5-8,Tertiary education (levels 5-8),F06,Information and communication technologies,F,Females,DE,Germany,2016,,4595,,d,definition differs (see metadata),,
