DATAFLOW,LAST UPDATE,freq,unit,age,sex,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Denmark,2019,35222,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Denmark,2020,35257,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Denmark,2021,35666,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Denmark,2022,36497,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Denmark,2023,33487,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Estonia,2014,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Estonia,2015,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Estonia,2016,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Estonia,2017,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Estonia,2018,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Estonia,2019,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Estonia,2020,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Estonia,2021,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Estonia,2022,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Estonia,2023,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Greece,2014,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Greece,2015,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Greece,2016,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Greece,2017,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Greece,2018,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Greece,2019,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Greece,2020,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Greece,2021,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Greece,2022,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Greece,2023,,m,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Spain,2014,366049,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Spain,2015,372356,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Spain,2016,368601,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Spain,2017,392468,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Spain,2018,414386,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Spain,2019,429915,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Spain,2020,462934,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Spain,2021,524257,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Spain,2022,549919,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,Spain,2023,586129,,
