DATAFLOW,LAST UPDATE,freq,unit,isced11,iscedf13,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Estonia,2017,206,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Estonia,2018,179,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Estonia,2019,266,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Estonia,2020,272,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Estonia,2021,304,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Greece,2013,1167,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Greece,2014,1040,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Greece,2015,788,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Greece,2016,857,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Greece,2017,713,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Greece,2018,852,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Greece,2019,857,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Greece,2020,832,,
